@relation CIRCLES
@attribute x real
@attribute y real
@attribute class {p,n}

@data
0.80356,0.70047,p
0.27416,0.49871,n
0.12896,0.37599,n
0.56741,0.44713,p
0.07515,0.51081,n
0.08836,0.52480,n
0.28313,0.49139,n
0.06351,0.52393,n
0.33144,0.81076,p
0.39019,0.70756,p
0.19517,0.60533,n
0.15938,0.40725,n
0.01091,0.62008,p
0.02406,0.64852,p
0.20758,0.44579,n
0.28971,0.53741,n
0.35483,0.75689,p
0.52735,0.19081,p
0.23160,0.42453,n
0.29148,0.49083,n
0.76408,0.86100,p
0.24127,0.00174,p
0.79337,0.46519,p
0.21587,0.49456,n
0.25706,0.18136,p
0.48112,0.14223,p
0.16994,0.46012,p
0.46753,0.76415,p
0.21534,0.63294,n
0.32585,0.57557,n
0.61634,0.18402,p
0.31022,0.41370,n
0.24950,0.62045,n
0.72705,0.96244,p
0.08641,0.88373,p
0.25634,0.98873,p
0.28536,0.53001,n
0.21712,0.55428,n
0.45819,0.62847,n
0.26656,0.61531,n
0.96153,0.02571,p
0.38950,0.39297,n
0.23904,0.26156,p
0.22314,0.78680,p
0.22353,0.44539,n
0.23320,0.46242,n
0.17040,0.57623,n
0.25542,0.43166,p
0.16797,0.45162,n
0.96391,0.86175,p
0.66978,0.15875,p
0.29091,0.40964,n
0.29568,0.58318,n
0.67360,0.84028,p
0.06834,0.33044,n
0.06988,0.51792,n
0.77394,0.47621,p
0.17891,0.46018,n
0.98960,0.92822,p
0.14826,0.04992,n
0.28152,0.42167,n
0.72890,0.97636,p
0.34558,0.52778,n
0.26189,0.37673,n
0.16025,0.57701,n
0.19585,0.53427,n
0.23682,0.41152,n
0.12309,0.66326,p
0.26049,0.14257,p
0.02598,0.26192,p
0.67887,0.58238,p
0.94943,0.99366,p
0.26827,0.49478,p
0.40614,0.34476,p
0.22073,0.76345,n
0.11148,0.53345,n
0.18533,0.62446,n
0.71425,0.68594,p
0.38381,0.32153,p
0.09204,0.49132,p
0.88360,0.12527,p
0.68053,0.92427,p
0.18081,0.43304,n
0.57404,0.05416,p
0.84509,0.53058,n
0.16536,0.14879,p
0.06025,0.38365,p
0.13241,0.45184,n
0.29932,0.42719,n
0.19842,0.54338,n
0.42678,0.44235,n
0.44773,0.51014,n
0.19379,0.63806,n
0.71090,0.66892,p
0.65782,0.43605,p
0.11413,0.43560,n
0.28567,0.39586,n
0.08213,0.47251,p
0.37144,0.41631,n
0.33813,0.48277,p
0.46325,0.50025,n
0.20849,0.52011,n
0.96009,0.54378,n
0.46561,0.51967,p
0.78918,0.62388,p
0.28455,0.09462,p
0.46581,0.25858,p
0.59774,0.82010,p
0.50532,0.27611,p
0.36136,0.68790,n
0.58950,0.26139,p
0.20431,0.56331,n
0.88974,0.03631,p
0.61263,0.93110,p
0.44995,0.60193,n
0.15937,0.79958,p
0.67265,0.87655,p
0.61697,0.96247,p
0.50830,0.81249,p
0.81608,0.27728,p
0.19667,0.43153,p
0.24100,0.16133,p
0.50657,0.24911,p
0.43834,0.37520,n
0.41194,0.54610,n
0.56372,0.81299,n
0.33715,0.47797,n
0.90610,0.49022,p
0.17432,0.62694,p
0.59255,0.45538,n
0.20491,0.88871,p
0.66422,0.14327,p
0.29739,0.56369,n
0.50104,0.62786,p
0.20788,0.50823,n
0.18199,0.36619,n
0.70097,0.50380,p
0.84540,0.77242,p
0.22433,0.52806,n
0.30246,0.47602,n
0.31105,0.57710,n
0.32534,0.84041,p
0.13555,0.68841,n
0.23221,0.51465,n
0.76356,0.51730,p
0.72993,0.67052,p
0.71925,0.89019,p
0.19949,0.14937,p
0.78670,0.39828,n
0.08176,0.79833,p
0.38716,0.69487,p
0.16351,0.41930,p
0.21424,0.39327,p
0.22075,0.64110,n
0.39462,0.28778,p
0.44320,0.68964,p
0.08861,0.41120,n
0.29975,0.48974,n
0.24763,0.42715,n
0.73153,0.51987,p
0.89207,0.26307,p
0.27662,0.52235,n
0.06537,0.23694,p
0.02830,0.30554,p
0.31137,0.35107,n
0.24413,0.49503,n
0.13644,0.87727,p
0.19329,0.57257,n
0.93227,0.66512,p
0.20246,0.47746,n
0.97076,0.61473,p
0.31158,0.11951,p
0.44657,0.48677,n
0.21660,0.52826,n
0.17574,0.48625,n
0.68203,0.74972,p
0.13090,0.28682,p
0.78377,0.93009,p
0.09262,0.49740,n
0.65670,0.10194,p
0.73731,0.51763,p
0.33770,0.36837,n
0.89868,0.05559,p
0.26002,0.50416,n
0.04892,0.50230,p
0.51007,0.43424,n
0.24640,0.39578,n
0.71370,0.41724,p
0.95970,0.40211,p
0.43229,0.53278,p
0.07738,0.48907,n
0.33038,0.52132,n
0.36227,0.50185,n
0.23875,0.58894,n
0.47344,0.60999,n
0.89618,0.77997,p
0.15371,0.58507,n
0.21310,0.38756,n
0.22839,0.48162,n
0.31844,0.48635,n
0.15880,0.51250,n
0.56649,0.39522,n
0.76946,0.10808,n
0.20659,0.52313,n
0.38146,0.77514,p
0.32115,0.46683,n
0.17558,0.57780,n
0.23196,0.64848,n
0.85867,0.77832,p
0.74893,0.14939,p
0.29605,0.60150,p
0.18162,0.47301,n
0.30788,0.64703,n
0.01779,0.26145,p
0.31071,0.03055,p
0.75192,0.76512,p
0.06747,0.44932,p
0.51589,0.45921,p
0.51870,0.23493,p
0.92160,0.48363,p
0.17193,0.40667,p
0.56819,0.29043,p
0.23592,0.44755,n
0.11173,0.51765,n
0.52096,0.64001,n
0.33224,0.53769,p
0.48762,0.02054,p
0.27501,0.47611,n
0.58821,0.72018,n
0.63813,0.64383,p
0.25995,0.45817,n
0.97627,0.59313,p
0.29094,0.81623,p
0.09133,0.53013,n
0.53528,0.73411,p
0.85741,0.79417,p
0.67252,0.90695,p
0.50118,0.21450,p
0.44673,0.05908,p
0.46566,0.34462,n
0.47872,0.41825,p
0.92494,0.18094,p
0.39365,0.49079,n
0.05646,0.56817,p
0.22708,0.49616,n
0.33102,0.47524,n
0.10647,0.49791,n
0.25501,0.21885,p
0.50394,0.60487,n
0.23939,0.53603,n
0.88520,0.81337,p
0.54036,0.58838,n
0.99017,0.70675,p
0.51406,0.48091,n
0.40936,0.53666,n
0.29412,0.54444,n
0.92440,0.67028,p
0.83731,0.10332,p
0.36771,0.57166,p
0.31799,0.39902,p
0.25515,0.45673,n
0.73603,0.85456,p
0.30037,0.60042,n
0.85300,0.50701,p
0.23800,0.43799,n
0.01966,0.92304,p
0.14076,0.60448,n
0.39064,0.13500,p
0.11596,0.73438,p
0.64399,0.72536,p
0.24871,0.38246,n
0.16214,0.36074,n
0.29966,0.59013,n
0.84506,0.51372,p
0.41001,0.43923,p
0.36103,0.52408,n
0.76341,0.93796,p
0.25097,0.50782,n
0.42799,0.39441,n
0.39055,0.91804,p
0.46896,0.65719,n
0.11623,0.13787,p
0.07415,0.48968,n
0.41540,0.35991,p
0.23737,0.40563,n
0.51755,0.92465,p
0.46074,0.68584,n
0.18974,0.44271,n
0.99363,0.08711,p
0.34006,0.62703,n
0.20689,0.47206,n
0.25443,0.56560,n
0.04387,0.42126,p
0.12578,0.26264,p
0.86169,0.47310,p
0.23234,0.81097,p
0.47789,0.10934,p
0.06947,0.77135,p
0.78860,0.71763,p
0.18134,0.02651,p
0.16588,0.59536,n
0.53313,0.54379,n
0.59372,0.96786,p
0.29293,0.49019,p
0.53224,0.49858,n
0.20723,0.61702,n
0.91313,0.52821,p
0.71074,0.35676,p
0.35926,0.40440,n
0.58328,0.08143,p
0.38852,0.57325,n
0.77569,0.98261,p
0.24233,0.55391,n
0.45996,0.53515,p
0.97227,0.73625,p
0.46478,0.46096,n
0.20740,0.19913,p
0.27194,0.58281,n
0.48503,0.66718,n
0.76097,0.92842,p
0.14201,0.40615,n
0.77737,0.78592,n
0.06815,0.50707,n
0.38106,0.86203,p
0.12173,0.59285,n
0.43275,0.56390,n
0.40770,0.37850,n
0.74198,0.29604,p
0.25470,0.39349,n
0.88163,0.58945,p
0.33111,0.43781,n
0.38161,0.55357,p
0.08167,0.22436,p
0.38004,0.66225,n
0.28963,0.59128,n
0.51293,0.42832,n
0.41070,0.82147,p
0.75360,0.54967,p
0.02794,0.51631,p
0.28906,0.49867,n
0.93375,0.55243,p
0.29106,0.63276,n
0.20721,0.55474,n
0.90863,0.46271,n
0.27669,0.54115,n
0.52854,0.91910,p
0.52265,0.41871,n
0.40678,0.34290,n
0.34498,0.50145,n
0.84247,0.88703,p
0.84794,0.78971,n
0.06417,0.17832,p
0.58647,0.48589,n
0.69539,0.57578,p
0.41187,0.33743,p
0.14566,0.13177,p
0.77594,0.83110,p
0.37583,0.65768,n
0.53924,0.00823,p
0.80684,0.80953,p
0.16374,0.61552,n
0.78344,0.46274,p
0.43993,0.63596,n
0.63515,0.20482,p
0.14274,0.22142,p
0.92333,0.88722,p
0.93894,0.14299,p
0.30516,0.54828,n
0.57396,0.73517,p
0.28013,0.85986,p
