@relation CIRCLES
@attribute x real
@attribute y real
@attribute class {p,n}

@data
0.08592,0.59173,n
0.26811,0.61945,n
0.11555,0.52603,n
0.09723,0.43944,n
0.81089,0.52718,p
0.29449,0.53915,n
0.94037,0.88676,p
0.05469,0.63059,p
0.50539,0.11902,p
0.32004,0.46146,p
0.12887,0.51265,n
0.15518,0.38701,n
0.38658,0.29987,p
0.25062,0.58290,n
0.26385,0.54303,n
0.21668,0.57766,n
0.27878,0.45993,n
0.26539,0.39324,n
0.12962,0.52388,n
0.30709,0.43525,n
0.29837,0.50628,n
0.12114,0.59270,p
0.27042,0.83982,p
0.53035,0.71196,n
0.81644,0.63418,p
0.46086,0.92276,p
0.31432,0.43674,n
0.89691,0.26509,p
0.05262,0.52070,n
0.46586,0.37613,n
0.72413,0.45589,p
0.20489,0.51801,n
0.11601,0.47856,n
0.78709,0.76870,p
0.77437,0.78054,p
0.97335,0.23245,p
0.18572,0.37690,n
0.88228,0.71566,p
0.26387,0.20779,p
0.22136,0.43670,p
0.49459,0.20526,p
0.19799,0.41307,n
0.99140,0.86776,p
0.66984,0.02365,p
0.59043,0.21968,p
0.14026,0.60159,n
0.52257,0.58129,n
0.18212,0.05221,p
0.22411,0.51583,n
0.19907,0.58176,p
0.74677,0.84549,p
0.30582,0.56655,n
0.14365,0.56732,p
0.89262,0.76142,p
0.29395,0.59015,n
0.31055,0.57028,n
0.36951,0.13465,p
0.46410,0.87013,p
0.10790,0.59215,n
0.58637,0.76769,p
0.50654,0.00316,p
0.83161,0.56492,p
0.19346,0.58597,n
0.29592,0.51621,n
0.93292,0.84903,p
0.31056,0.44502,n
0.08608,0.77269,p
0.11414,0.61854,n
0.06315,0.55083,n
0.78260,0.02467,p
0.32734,0.34276,n
0.19637,0.47570,n
0.32727,0.44529,n
0.80577,0.89654,p
0.25637,0.47989,p
0.36650,0.18859,p
0.22109,0.64695,n
0.39069,0.33038,p
0.97050,0.32758,p
0.33645,0.61551,n
0.94631,0.56317,p
0.15604,0.55331,n
0.37368,0.11062,p
0.23369,0.47663,n
0.54348,0.39472,n
0.13061,0.44015,p
0.48648,0.65390,n
0.35365,0.72035,p
0.30686,0.54632,n
0.24602,0.50338,n
0.07965,0.08708,n
0.33895,0.52234,n
0.01995,0.47624,p
0.47340,0.53641,n
0.80278,0.01495,p
0.74674,0.61330,p
0.24419,0.45133,n
0.12880,0.57554,n
0.94974,0.09132,p
0.24689,0.54444,n
0.09050,0.25864,p
0.05928,0.45751,n
0.22436,0.46719,n
0.36632,0.75203,n
0.49908,0.26904,p
0.25388,0.63728,n
0.16573,0.52421,p
0.08866,0.47832,n
0.29527,0.97814,n
0.87910,0.06205,p
0.21389,0.40546,n
0.22224,0.47397,n
0.10275,0.54020,p
0.47319,0.33749,p
0.29865,0.50962,n
0.14758,0.46321,n
0.29096,0.45500,n
0.44934,0.93934,p
0.21495,0.50997,p
0.52508,0.06692,p
0.52697,0.57907,n
0.03664,0.95691,p
0.55659,0.26469,p
0.43907,0.81548,p
0.31973,0.08748,p
0.94929,0.50164,p
0.38353,0.34216,n
0.77866,0.30090,p
0.86310,0.34883,p
0.31146,0.43223,p
0.06139,0.16229,p
0.19339,0.54624,p
0.45280,0.52229,p
0.29293,0.48232,n
0.43081,0.38317,n
0.07218,0.19203,p
0.93559,0.14723,p
0.10753,0.54097,n
0.40994,0.42409,n
0.22187,0.56188,n
0.61948,0.38397,p
0.54404,0.68631,p
0.13081,0.30832,p
0.23233,0.60110,n
0.10881,0.34651,p
0.27705,0.53089,n
0.42430,0.34003,p
0.35514,0.36973,p
0.29617,0.53069,n
0.29548,0.59017,p
0.43342,0.42124,n
0.10641,0.60977,n
0.60501,0.36137,p
0.51954,0.56005,n
0.77554,0.44735,p
0.38164,0.32519,n
0.13298,0.57263,n
0.13487,0.52221,n
0.34243,0.52153,n
0.57210,0.93706,p
0.14431,0.25776,p
0.57847,0.33898,n
0.33169,0.59079,p
0.11682,0.89384,p
0.48074,0.68026,p
0.10517,0.54314,n
0.77458,0.36041,p
0.33220,0.90974,p
0.24226,0.47157,n
0.06320,0.45919,n
0.24271,0.53878,n
0.23669,0.43208,n
0.33347,0.47633,n
0.76363,0.81362,p
0.65960,0.05508,n
0.70865,0.69459,p
0.93088,0.82983,p
0.16112,0.55952,n
0.54130,0.19156,p
0.82578,0.83421,p
0.57537,0.59816,p
0.23799,0.73497,p
0.55533,0.61910,n
0.61278,0.57370,p
0.38256,0.64185,n
0.25587,0.45092,n
0.12493,0.97631,p
0.06683,0.49694,n
0.34616,0.24953,p
0.16671,0.17150,p
0.80524,0.57816,p
0.57068,0.52276,p
0.58886,0.72502,p
0.49302,0.63646,n
0.43885,0.31794,n
0.68030,0.71420,p
0.23016,0.41697,n
0.90782,0.76588,p
