@relation MIXED
@attribute v {False,True}
@attribute w {False,True}
@attribute x real
@attribute y real
@attribute class {p,n}

@data
False,True,0.583,0.910,n
True,False,0.827,0.124,p
False,False,0.577,0.397,n
True,False,0.103,0.571,p
False,False,0.574,0.525,n
True,True,0.288,0.980,p
True,False,0.757,0.152,p
False,False,0.765,0.573,n
True,False,0.840,0.945,n
True,False,0.061,0.701,n
True,True,0.717,0.887,p
True,True,0.168,0.117,p
True,False,0.819,0.864,n
True,True,0.986,0.683,p
False,False,0.083,0.151,n
False,True,0.831,0.182,n
True,True,0.399,0.104,p
False,True,0.601,0.102,p
False,True,0.149,0.252,p
True,True,0.474,0.115,p
True,True,0.484,0.086,n
False,True,0.979,0.863,n
True,True,0.908,0.356,p
True,False,0.613,0.788,p
True,True,0.731,0.990,p
False,False,0.227,0.197,n
False,True,0.624,0.900,n
True,False,0.801,0.972,n
False,False,0.028,0.591,n
True,False,0.549,0.131,p
False,True,0.259,0.419,n
False,True,0.777,0.609,p
False,True,0.682,0.531,p
True,False,0.883,0.057,p
False,False,0.508,0.562,n
False,True,0.326,0.973,n
False,True,0.137,0.122,p
True,True,0.073,0.241,p
True,False,0.990,0.832,n
False,True,0.994,0.404,p
True,True,0.092,0.366,p
True,False,0.113,0.919,n
False,False,0.084,0.272,n
False,True,0.756,0.820,n
True,False,0.279,0.800,n
False,True,0.895,0.269,p
True,True,0.622,0.043,n
True,True,0.531,0.206,p
True,False,0.271,0.804,n
False,False,0.018,0.506,n
False,True,0.989,0.982,n
True,False,0.693,0.045,p
True,True,0.244,0.966,n
True,False,0.357,0.001,p
False,False,0.264,0.090,n
False,False,0.658,0.716,p
True,True,0.721,0.494,p
False,False,0.825,0.715,n
True,False,0.910,0.753,n
False,False,0.085,0.042,n
False,False,0.659,0.066,n
True,True,0.809,0.846,p
True,True,0.621,0.133,p
False,True,0.291,0.517,p
False,True,0.978,0.936,n
False,True,0.459,0.820,n
False,False,0.142,0.524,n
True,True,0.025,0.004,p
True,True,0.405,0.727,p
True,True,0.121,0.331,p
False,True,0.925,0.756,n
True,False,0.812,0.631,p
True,True,0.739,0.976,n
False,True,0.550,0.453,n
True,True,0.427,0.548,p
True,False,0.377,0.338,p
True,True,0.432,0.312,p
False,False,0.032,0.710,n
False,False,0.522,0.682,n
False,False,0.646,0.304,n
False,True,0.528,0.437,n
True,False,0.790,0.001,p
False,True,0.526,0.547,n
False,True,0.705,0.307,p
True,True,0.081,0.228,p
True,False,0.493,0.696,n
False,False,0.496,0.200,n
False,False,0.465,0.265,n
True,True,0.442,0.109,p
False,True,0.357,0.822,n
True,False,0.049,0.473,p
True,False,0.812,0.767,p
True,False,0.747,0.899,n
False,False,0.826,0.107,n
False,True,0.183,0.803,n
True,False,0.607,0.328,p
False,True,0.625,0.208,p
True,True,0.988,0.972,p
False,True,0.294,0.567,p
True,True,0.738,0.199,p
False,False,0.153,0.884,n
True,False,0.396,0.992,n
False,True,0.233,0.050,p
True,False,0.106,0.596,p
True,False,0.037,0.340,p
True,True,0.988,0.668,n
False,True,0.902,0.424,p
False,True,0.578,0.365,n
False,False,0.052,0.142,n
True,False,0.573,0.927,n
True,True,0.053,0.926,p
False,False,0.621,0.615,n
False,True,0.183,0.218,p
False,False,0.884,0.842,n
False,False,0.619,0.490,n
False,True,0.400,0.067,p
False,False,0.636,0.082,n
True,False,0.054,0.504,p
False,False,0.857,0.996,n
False,True,0.372,0.199,p
True,False,0.637,0.278,p
False,True,0.993,0.630,n
False,False,0.296,0.516,p
True,True,0.733,0.747,n
True,True,0.418,0.364,n
True,False,0.613,0.046,p
True,True,0.106,0.357,p
True,False,0.204,0.624,n
True,True,0.812,0.967,p
False,True,0.595,0.578,n
True,False,0.165,0.000,p
False,False,0.613,0.657,p
False,False,0.413,0.518,n
True,False,0.375,0.437,n
True,False,0.742,0.452,p
False,True,0.232,0.039,p
True,False,0.266,0.554,p
True,True,0.642,0.965,p
False,False,0.260,0.236,n
False,False,0.437,0.725,n
True,False,0.392,0.585,p
False,False,0.033,0.112,n
False,True,0.107,0.206,p
False,False,0.034,0.848,n
True,False,0.436,0.773,n
True,True,0.705,0.538,p
False,True,0.170,0.001,p
False,False,0.348,0.096,n
False,True,0.593,0.957,n
True,False,0.628,0.356,p
True,True,0.892,0.745,n
False,True,0.982,0.631,n
True,False,0.532,0.754,n
False,True,0.582,0.522,n
False,False,0.334,0.643,n
False,False,0.267,0.755,p
False,False,0.975,0.723,n
True,True,0.274,0.109,p
False,True,0.206,0.388,p
True,False,0.741,0.908,n
False,False,0.642,0.454,n
True,True,0.628,0.098,p
True,False,0.250,0.424,p
True,False,0.894,0.328,p
True,False,0.038,0.543,p
True,False,0.639,0.829,n
False,True,0.514,0.933,n
True,False,0.252,0.382,p
False,False,0.469,0.562,n
False,False,0.353,0.639,n
True,False,0.805,0.799,p
True,False,0.654,0.320,p
False,True,0.153,0.303,n
False,False,0.210,0.072,n
True,False,0.610,0.688,n
True,False,0.555,0.264,n
False,True,0.247,0.165,p
False,False,0.841,0.468,n
False,False,0.637,0.636,n
False,False,0.610,0.683,p
True,False,0.511,0.485,n
True,True,0.475,0.526,p
False,True,0.435,0.422,n
True,True,0.355,0.494,p
False,False,0.399,0.554,n
True,False,0.398,0.109,p
True,False,0.789,0.910,n
True,False,0.914,0.656,p
True,False,0.787,0.562,p
False,True,0.568,0.039,p
False,True,0.770,0.549,p
False,True,0.212,0.152,p
False,False,0.684,0.122,n
False,True,0.734,0.187,p
False,True,0.629,0.709,n
True,True,0.914,0.053,p
False,False,0.883,0.687,n
True,False,0.316,0.949,n
True,False,0.630,0.418,n
False,True,0.833,0.812,n
False,True,0.975,0.797,n
True,True,0.535,0.540,p
False,False,0.192,0.181,n
False,False,0.045,0.997,n
False,True,0.844,0.339,p
False,True,0.922,0.706,n
False,True,0.319,0.233,p
False,False,0.039,0.256,n
True,False,0.903,0.905,n
False,False,0.677,0.299,n
True,True,0.380,0.441,p
False,False,0.468,0.913,n
True,True,0.823,0.478,p
True,False,0.439,0.149,p
False,True,0.456,0.482,n
False,False,0.631,0.788,n
False,True,0.289,0.896,n
False,True,0.144,0.640,p
True,False,0.443,0.790,n
True,False,0.360,0.041,p
False,False,0.601,0.829,p
True,False,0.518,0.348,n
False,True,0.520,0.446,n
False,False,0.357,0.245,n
True,True,0.576,0.898,p
False,False,0.244,0.089,n
False,False,0.103,0.250,p
False,True,0.870,0.717,n
False,False,0.861,0.147,p
False,True,0.517,0.958,n
True,False,0.870,0.663,p
False,False,0.069,0.433,n
False,False,0.139,0.970,p
True,False,0.809,0.884,n
False,False,0.251,0.520,p
True,False,0.951,0.288,p
False,False,0.060,0.959,n
True,True,0.243,0.088,p
False,True,0.461,0.548,n
True,True,0.819,0.031,p
False,False,0.324,0.325,n
True,True,0.878,0.216,p
False,True,0.834,0.354,p
False,False,0.989,0.678,n
True,True,0.668,0.140,p
True,False,0.739,0.743,n
False,True,0.397,0.993,n
True,False,0.436,0.377,n
False,False,0.822,0.330,n
False,False,0.047,0.565,p
False,False,0.410,0.501,p
True,False,0.171,0.318,p
False,False,0.412,0.060,p
False,True,0.570,0.631,n
False,False,0.197,0.498,n
True,True,0.613,0.807,p
False,True,0.275,0.033,p
False,True,0.055,0.238,p
True,False,0.243,0.390,p
True,True,0.651,0.961,p
True,True,0.554,0.387,p
True,True,0.629,0.581,p
True,True,0.505,0.227,p
False,True,0.596,0.440,n
False,False,0.543,0.270,n
False,True,0.805,0.758,p
True,True,0.356,0.844,p
True,False,0.937,0.176,p
True,True,0.025,0.704,p
True,True,0.906,0.098,p
True,False,0.713,0.040,p
False,True,0.198,0.303,p
False,True,0.629,0.942,n
False,True,0.717,0.255,p
True,False,0.112,0.764,n
True,False,0.777,0.346,p
False,True,0.527,0.349,n
True,False,0.546,0.969,n
False,True,0.250,0.059,p
True,False,0.201,0.311,p
False,False,0.011,0.992,p
True,False,0.645,0.957,n
True,False,0.784,0.322,p
False,True,0.628,0.935,n
True,False,0.296,0.186,p
False,False,0.785,0.830,n
True,True,0.185,0.825,p
