@relation SINE1
@attribute x real
@attribute y real
@attribute class {p,n}

@data
0.705,0.085,p
0.642,0.459,p
0.831,0.090,p
0.234,0.020,p
0.992,0.063,p
0.338,0.691,n
0.498,0.650,n
0.582,0.142,p
0.946,0.489,p
0.357,0.878,n
0.504,0.198,p
0.150,0.529,n
0.071,0.903,p
0.701,0.220,p
0.423,0.377,p
0.396,0.166,p
0.766,0.300,p
0.446,0.418,p
0.589,0.289,p
0.085,0.107,n
0.360,0.808,n
0.744,0.351,n
0.210,0.875,n
0.033,0.965,p
0.990,0.580,p
0.970,0.442,p
0.605,0.497,p
0.439,0.726,n
0.715,0.471,n
0.361,0.226,p
0.023,0.364,n
0.229,0.526,p
0.744,0.647,p
0.613,0.909,n
0.977,0.369,p
0.941,0.850,p
0.625,0.957,n
0.847,0.312,p
0.290,0.613,n
0.684,0.936,n
0.821,0.605,p
0.428,0.490,n
0.838,0.269,p
0.733,0.271,p
0.504,0.277,p
0.888,0.412,p
0.250,0.813,n
0.920,0.786,p
0.137,0.610,n
0.087,0.463,n
0.653,0.320,p
0.039,0.920,n
0.297,0.357,n
0.721,0.348,p
0.293,0.177,p
0.749,0.109,p
0.556,0.736,n
0.563,0.936,n
0.923,0.692,p
0.983,0.490,n
0.844,0.528,p
0.680,0.476,p
0.534,0.937,n
0.767,0.825,p
0.647,0.124,p
0.035,0.371,n
0.347,0.699,n
0.965,0.108,p
0.656,0.986,n
0.358,0.947,n
0.477,0.170,p
0.365,0.346,p
0.039,0.141,n
0.561,0.302,p
0.647,0.786,n
0.741,0.584,p
0.447,0.629,n
0.709,0.174,p
0.197,0.116,n
0.906,0.425,p
0.346,0.597,n
0.064,0.488,n
0.696,0.226,p
0.208,0.693,n
0.655,0.866,n
0.314,0.654,n
0.082,0.346,n
0.869,0.971,n
0.610,0.162,p
0.267,0.445,n
0.993,0.141,p
0.594,0.840,n
0.665,0.447,p
0.884,0.976,n
0.200,0.755,n
0.607,0.500,p
0.484,0.581,n
0.548,0.198,p
0.631,0.075,n
0.385,0.313,p
0.158,0.491,n
0.629,0.970,n
0.478,0.468,p
0.449,0.474,n
0.803,0.160,p
0.566,0.952,n
0.624,0.447,p
0.159,0.792,n
0.357,0.529,n
0.552,0.714,n
0.190,0.548,n
0.181,0.101,p
0.444,0.368,n
0.329,0.106,p
0.845,0.028,p
0.418,0.126,p
0.985,0.365,p
0.857,0.942,n
0.592,0.902,n
0.928,0.387,p
0.440,0.289,p
0.731,0.310,p
0.980,0.909,n
0.102,0.560,n
0.041,0.628,n
0.137,0.817,n
0.362,0.883,n
0.663,0.359,p
0.976,0.871,p
0.113,0.408,n
0.148,0.268,n
0.934,0.886,n
0.271,0.829,p
0.528,0.623,n
0.697,0.721,n
0.761,0.131,n
0.969,0.302,p
0.891,0.136,p
0.546,0.825,n
0.531,0.958,n
0.001,0.288,p
0.694,0.981,n
0.531,0.850,n
0.050,0.335,n
0.794,0.582,p
0.095,0.387,n
0.804,0.666,n
0.804,0.562,p
0.317,0.263,p
0.392,0.261,p
0.858,0.911,n
0.061,0.670,n
0.380,0.522,n
0.884,0.126,p
0.853,0.610,p
0.114,0.581,n
0.830,0.658,p
0.112,0.286,n
0.137,0.956,p
0.572,0.877,p
0.410,0.269,n
0.429,0.075,p
0.739,0.404,p
0.235,0.824,n
0.409,0.002,p
0.875,0.651,p
0.075,0.031,p
0.080,0.367,n
0.857,0.464,p
0.847,0.434,p
0.553,0.263,p
0.313,0.418,n
0.720,0.349,p
0.393,0.380,p
0.420,0.287,p
0.741,0.074,p
0.535,0.578,n
0.216,0.494,n
0.315,0.487,n
0.584,0.682,n
0.306,0.614,n
0.638,0.889,n
0.418,0.042,p
0.007,0.576,n
0.130,0.470,n
0.750,0.387,p
0.320,0.291,p
0.727,0.392,p
0.311,0.041,p
0.989,0.150,p
0.692,0.421,p
0.763,0.089,p
0.115,0.267,n
0.210,0.035,n
0.154,0.687,n
0.754,0.569,n
0.027,0.435,p
0.301,0.408,n
0.372,0.262,p
0.935,0.042,p
0.989,0.529,n
0.951,0.693,p
0.911,0.162,p
0.321,0.467,n
0.152,0.186,n
0.714,0.353,p
0.126,0.367,n
0.492,0.519,n
0.772,0.916,n
0.997,0.970,n
0.152,0.644,n
0.429,0.704,n
0.174,0.121,p
0.913,0.838,n
0.573,0.013,p
0.953,0.455,p
0.415,0.312,p
0.476,0.357,p
0.401,0.234,p
0.523,0.527,p
0.140,0.965,p
0.828,0.539,p
0.513,0.968,n
0.951,0.097,p
0.399,0.054,p
0.066,0.803,n
0.961,0.734,p
0.619,0.160,p
0.106,0.967,n
0.888,0.676,p
0.705,0.625,p
0.477,0.110,p
0.865,0.251,p
0.148,0.524,p
0.706,0.013,p
0.151,0.307,n
0.025,0.287,n
0.452,0.315,p
0.526,0.433,p
0.259,0.751,p
0.290,0.534,p
0.889,0.260,p
0.123,0.672,n
0.099,0.862,n
0.968,0.184,p
0.030,0.299,p
0.231,0.323,n
0.693,0.310,p
0.703,0.824,n
0.501,0.652,n
0.854,0.343,p
0.070,0.406,n
0.043,0.688,n
0.025,0.613,n
0.895,0.539,n
0.764,0.222,p
0.428,0.145,p
0.091,0.146,n
0.012,0.593,n
0.478,0.889,n
0.682,0.987,n
0.540,0.060,p
0.311,0.713,n
0.889,0.555,p
0.349,0.310,p
0.296,0.723,p
0.108,0.248,n
0.086,0.798,n
0.458,0.763,n
0.858,0.945,n
0.600,0.034,p
0.222,0.817,n
0.995,0.334,p
0.605,0.017,p
0.822,0.918,n
0.544,0.297,p
0.435,0.503,n
0.426,0.357,p
0.955,0.750,p
0.965,0.176,p
0.513,0.989,n
0.001,0.562,n
0.095,0.372,n
0.728,0.326,p
0.647,0.620,n
0.843,0.604,p
0.237,0.367,n
0.730,0.520,p
0.903,0.418,p
0.032,0.971,n
0.350,0.660,n
0.844,0.097,p
0.902,0.033,p
0.676,0.584,p
0.725,0.293,p
0.208,0.492,n
0.574,0.939,n
0.754,0.848,p
0.519,0.115,p
0.611,0.397,p
0.981,0.567,p
0.975,0.242,p
0.871,0.990,n
0.553,0.431,n
0.929,0.948,n
0.042,0.042,n
0.016,0.878,n
0.599,0.717,p
0.630,0.657,n
0.926,0.563,p
0.722,0.063,p
0.069,0.219,p
0.188,0.525,p
0.829,0.447,p
0.994,0.580,p
0.290,0.286,n
0.017,0.004,p
0.909,0.939,n
0.252,0.456,n
0.120,0.376,n
0.491,0.218,p
0.579,0.026,p
0.161,0.304,n
0.286,0.207,p
0.003,0.359,n
0.540,0.134,p
0.542,0.889,n
0.060,0.410,p
0.029,0.914,n
0.652,0.485,p
0.702,0.189,p
0.296,0.565,n
0.480,0.527,p
0.148,0.268,p
0.802,0.531,p
0.809,0.510,p
0.780,0.120,p
0.439,0.115,p
0.253,0.115,p
0.261,0.608,n
0.394,0.223,n
0.033,0.444,n
0.813,0.150,p
0.812,0.062,n
0.910,0.989,n
0.432,0.454,n
0.412,0.176,p
0.598,0.507,p
0.356,0.496,n
0.430,0.227,p
0.840,0.749,n
0.943,0.663,p
0.239,0.876,n
0.735,0.482,p
0.428,0.251,n
0.006,0.084,p
0.359,0.384,n
0.236,0.286,n
0.170,0.166,p
0.794,0.545,p
0.552,0.220,p
0.093,0.984,p
0.865,0.127,p
0.480,0.727,n
0.155,0.255,n
0.279,0.562,n
0.207,0.240,n
0.971,0.113,p
0.339,0.304,p
0.137,0.437,n
0.187,0.927,n
0.679,0.248,p
0.177,0.112,n
0.238,0.732,n
0.561,0.510,p
0.286,0.165,p
0.761,0.177,p
0.910,0.736,p
0.447,0.239,p
0.759,0.183,p
0.557,0.084,p
0.436,0.519,n
0.289,0.031,p
0.472,0.698,n
0.410,0.302,p
0.419,0.238,n
0.812,0.415,p
0.347,0.917,n
0.843,0.325,p
0.436,0.548,n
0.171,0.050,p
0.397,0.052,p
0.348,0.865,n
0.917,0.304,p
0.308,0.988,n
0.884,0.735,n
0.234,0.584,n
0.567,0.571,n
0.130,0.151,n
0.646,0.065,p
0.955,0.646,p
0.957,0.168,p
0.935,0.401,p
0.164,0.959,n
0.614,0.583,n
0.229,0.383,n
0.774,0.878,n
0.635,0.308,p
0.352,0.532,n
0.178,0.564,n
0.708,0.025,p
0.464,0.461,n
0.434,0.977,n
0.091,0.485,n
0.930,0.208,p
0.337,0.470,n
0.592,0.908,n
0.061,0.345,n
0.072,0.325,n
0.019,0.945,p
0.561,0.836,n
0.228,0.383,n
0.429,0.170,p
0.206,0.178,p
0.759,0.484,p
0.999,0.742,p
0.590,0.224,p
0.454,0.846,n
0.682,0.719,n
0.777,0.979,n
0.203,0.295,n
0.759,0.402,p
0.170,0.400,n
0.080,0.820,p
0.934,0.877,n
0.016,0.753,n
0.972,0.128,p
0.886,0.487,p
0.538,0.411,p
0.916,0.361,p
0.890,0.943,n
0.571,0.493,p
0.703,0.097,p
0.732,0.939,n
0.030,0.787,n
0.264,0.929,n
0.295,0.454,n
0.916,0.602,p
0.380,0.064,p
0.389,0.091,p
0.882,0.878,n
0.834,0.002,p
0.771,0.163,p
0.321,0.227,n
0.184,0.021,p
0.247,0.806,n
0.653,0.441,p
0.160,0.834,n
0.380,0.744,n
0.549,0.257,p
0.108,0.888,n
0.913,0.290,p
0.162,0.762,n
0.931,0.184,p
0.582,0.459,p
0.150,0.606,n
0.793,0.575,p
0.569,0.154,p
0.514,0.439,p
0.393,0.522,n
0.834,0.148,p
0.986,0.633,p
0.237,0.715,n
0.971,0.480,p
0.542,0.191,p
0.361,0.068,p
0.301,0.656,n
0.727,0.185,n
0.348,0.200,p
0.782,0.182,p
0.389,0.915,n
0.287,0.827,n
0.718,0.234,p
0.660,0.544,p
0.212,0.386,n
0.764,0.535,p
0.172,0.171,p
0.263,0.967,n
0.053,0.670,n
0.951,0.644,p
